SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,TransmissionPower
0,0,0,10,7.5
1,0,0,10,7.5
2,0,0,10,7.5
3,0,0,10,7.5
4,115.936,0,10,7.5
5,130.24,0,10,7.5
6,135.2,0,10,7.5
7,130.24,0,10,7.5
8,135.488,0,10,7.5
9,130.816,0,10,7.5
10,134.624,0,10,7.5
11,135.2,0,10,7.5
12,130.24,0,10,7.5
13,134.624,0,10,7.5
14,130.528,0,10,7.5
15,135.2,0,10,7.5
16,130.528,0,10,7.5
17,134.624,0,10,7.5
18,135.488,0,10,7.5
19,130.528,0,10,7.5
20,135.488,0,10,7.5
21,131.392,0,10,7.5
22,135.2,0,10,7.5
23,130.528,0,10,7.5
24,135.2,0,10,7.5
25,135.488,0,10,7.5
26,130.24,0,10,7.5
27,135.2,0,10,7.5
28,129.952,0,10,7.5
29,135.2,0,10,7.5
30,130.24,0,10,7.5
31,134.912,0,10,7.5
32,134.624,0,10,7.5
33,130.816,0,10,7.5
34,134.048,0,10,7.5
35,130.816,0,10,7.5
36,134.912,0,10,7.5
37,129.664,0,10,7.5
38,136.064,0,10,7.5
39,134.912,0,10,7.5
40,130.24,0,10,7.5
41,134.624,0,10,7.5
42,130.816,0,10,7.5
43,134.912,0,10,7.5
44,130.816,0,10,7.5
45,135.488,0,10,7.5
46,134.624,0,10,7.5
47,130.528,0,10,7.5
48,133.76,0,10,7.5
49,130.816,0,10,7.5
50,135.2,0,10,7.5
51,131.392,0,10,7.5
52,135.2,0,10,7.5
53,134.624,0,10,7.5
54,129.376,0,10,7.5
55,135.488,0,10,7.5
56,130.528,0,10,7.5
57,135.2,0,10,7.5
58,130.816,0,10,7.5
59,135.488,0,10,7.5
60,136.064,0,10,7.5
61,130.24,0,10,7.5
62,134.624,0,10,7.5
63,129.952,0,10,7.5
64,134.912,0,10,7.5
65,130.24,0,10,7.5
66,134.048,0,10,7.5
67,134.912,0,10,7.5
68,130.24,0,10,7.5
69,135.2,0,10,7.5
70,130.528,0,10,7.5
71,135.776,0,10,7.5
72,130.816,0,10,7.5
73,134.624,0,10,7.5
74,135.776,0,10,7.5
75,129.664,0,10,7.5
76,134.624,0,10,7.5
77,130.528,0,10,7.5
78,135.2,0,10,7.5
79,131.392,0,10,7.5
80,135.776,0,10,7.5
81,135.2,0,10,7.5
82,130.528,0,10,7.5
83,134.624,0,10,7.5
84,129.376,0,10,7.5
85,134.624,0,10,7.5
86,130.528,0,10,7.5
87,133.76,0,10,7.5
88,134.912,0,10,7.5
89,130.24,0,10,7.5
90,134.624,0,10,7.5
91,130.816,0,10,7.5
92,135.488,0,10,7.5
93,129.952,0,10,7.5
94,134.336,0,10,7.5
95,133.76,0,10,7.5
96,130.816,0,10,7.5
97,135.2,0,10,7.5
98,130.24,0,10,7.5
99,134.048,0,10,7.5
